Date,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BPCL.NS,BHARTIARTL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ITC.NS,INDUSINDBK.NS,INFY.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NTPC.NS,NESTLEIND.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SHRIRAMFIN.NS,SBIN.NS,SUNPHARMA.NS,TCS.NS,TATACONSUM.NS,TATASTEEL.NS,TECHM.NS,TITAN.NS,ULTRACEMCO.NS,WIPRO.NS
2023-06-14,2452.687255859375,724.6804809570312,4967.607421875,3165.729736328125,974.3652954101562,4378.63037109375,694.5704345703125,1476.7071533203125,157.30679321289062,802.69970703125,4736.17578125,943.6362915039062,184.5352325439453,3407.3046875,915.370849609375,3413.85791015625,1744.0748291015625,1000.4290161132812,766.8653564453125,577.49072265625,2616.06982421875,414.6655578613281,2528.614501953125,909.4281005859375,381.5382995605469,1306.6046142578125,1183.0618896484375,757.2262573242188,371.14581298828125,2266.90380859375,1329.676513671875,9163.0703125,172.62733459472656,1098.778564453125,135.69577026367188,163.72999572753906,1159.5496826171875,1235.99853515625,264.7469787597656,546.0367431640625,956.8034057617188,2933.809326171875,843.1578979492188,103.4317855834961,957.5903930664062,2870.127685546875,8054.7138671875,183.3270721435547
2023-06-15,2481.135498046875,724.8275146484375,5175.62353515625,3189.10791015625,973.817138671875,4370.62255859375,697.4819946289062,1471.021240234375,159.5597381591797,804.3963623046875,4768.57080078125,962.4376831054688,184.25311279296875,3500.25927734375,935.7177734375,3378.161865234375,1737.360595703125,1007.2548828125,757.4336547851562,570.6799926757812,2537.05078125,412.7144470214844,2520.135009765625,896.6546630859375,384.6283874511719,1280.783447265625,1170.68896484375,755.021728515625,364.9456481933594,2272.919921875,1343.275634765625,9223.0029296875,172.16624450683594,1110.257568359375,135.52383422851562,163.69676208496094,1159.86767578125,1234.8046875,265.9505615234375,536.5186767578125,958.451904296875,2924.035888671875,845.601806640625,103.3863296508789,961.0560913085938,2871.065673828125,8030.52587890625,179.85891723632812
2023-06-16,2505.042236328125,732.5708618164062,5157.078125,3210.889404296875,978.2022094726562,4296.93994140625,704.9788818359375,1504.8367919921875,158.6754150390625,812.249267578125,4834.94091796875,970.00634765625,184.2128143310547,3498.84228515625,957.4575805664062,3382.175537109375,1745.447021484375,1011.30615234375,767.3441162109375,603.6580200195312,2527.234375,416.5191955566406,2544.44873046875,904.009033203125,388.9201965332031,1297.4708251953125,1175.1014404296875,760.4105224609375,369.7027587890625,2278.2138671875,1353.9813232421875,9231.5107421875,173.54946899414062,1110.37109375,134.96505737304688,163.69676208496094,1171.159423828125,1274.8504638671875,267.3430480957031,541.0172119140625,961.9427490234375,2886.398193359375,843.4022827148438,103.84078979492188,957.2349243164062,2916.777587890625,8030.5732421875,176.3213653564453
2023-06-19,2397.03857421875,721.053955078125,5102.4833984375,3203.96728515625,962.3564453125,4255.65380859375,722.8890991210938,1538.103515625,157.8121337890625,802.8936157226562,4812.2744140625,975.0201416015625,183.08438110351562,3503.8759765625,950.4349975585938,3341.797119140625,1726.382568359375,1001.9261474609375,768.0144653320312,620.4937133789062,2483.106689453125,415.73870849609375,2534.625,893.316162109375,389.3493347167969,1285.0294189453125,1177.2392578125,756.050537109375,363.1642150878906,2277.781005859375,1352.7275390625,9162.58984375,171.38243103027344,1101.973876953125,135.6527862548828,161.47164916992188,1159.5269775390625,1274.0048828125,280.38116455078125,538.7442626953125,971.4458618164062,2918.671875,837.7811889648438,103.7044448852539,971.8085327148438,2930.895751953125,7968.271484375,175.7895965576172
2023-06-20,2410.414306640625,723.1613159179688,5119.392578125,3212.68017578125,971.5250244140625,4315.4990234375,709.4417724609375,1517.2557373046875,156.8435821533203,805.8506469726562,4846.20263671875,974.9237060546875,183.1649932861328,3485.744140625,954.7595825195312,3404.348388671875,1734.02783203125,1029.318359375,769.6182861328125,637.4779663085938,2499.2587890625,418.4703369140625,2527.87109375,895.6386108398438,388.7055969238281,1282.067138671875,1185.791015625,757.520263671875,367.0355529785156,2292.844970703125,1346.8441162109375,9124.236328125,172.90396118164062,1109.74267578125,135.1799774169922,165.2244873046875,1161.9351806640625,1288.779541015625,297.5109558105469,537.3710327148438,961.8943481445312,2934.39990234375,839.638671875,103.84078979492188,984.0271606445312,2936.227294921875,7944.03515625,176.87628173828125
2023-06-21,2401.580322265625,734.5801391601562,5076.45068359375,3210.163330078125,962.7052612304688,4304.52978515625,705.267578125,1515.460205078125,156.99095153808594,813.41259765625,4858.7578125,972.7543334960938,184.13223266601562,3430.37255859375,956.5518188476562,3412.328369140625,1742.6534423828125,1030.903564453125,783.0715942382812,636.28955078125,2519.6494140625,410.6657409667969,2528.34326171875,894.8160400390625,383.72711181640625,1270.41552734375,1182.1064453125,743.4113159179688,367.3440856933594,2304.828857421875,1325.4327392578125,9074.9716796875,172.90396118164062,1106.65087890625,137.71595764160156,171.5013427734375,1165.2069091796875,1288.381591796875,330.8358154296875,536.3765258789062,961.8458862304688,2962.1279296875,840.8606567382812,103.52267456054688,995.179443359375,2933.3642578125,7942.20361328125,178.2635498046875
2023-06-22,2392.896240234375,730.8065795898438,5024.13623046875,3144.287109375,963.3031616210938,4269.30810546875,688.0277099609375,1503.88916015625,157.24363708496094,817.0968017578125,4779.68798828125,962.5340576171875,182.92320251464844,3463.898681640625,954.4187622070312,3401.003662109375,1715.6005859375,1024.694091796875,786.9017944335938,632.8233642578125,2520.98779296875,409.7877197265625,2507.325439453125,895.8321533203125,384.24212646484375,1256.6903076171875,1165.9127197265625,737.140625,365.463134765625,2325.813232421875,1329.7247314453125,9038.63671875,170.1374969482422,1089.310546875,136.6414031982422,168.41275024414062,1152.1201171875,1270.0252685546875,327.86004638671875,533.1565551757812,960.2943115234375,2944.218994140625,823.0198974609375,104.27351379394531,994.42431640625,2932.52490234375,7866.2666015625,176.78379821777344
2023-06-23,2229.493408203125,700.1275634765625,5003.75634765625,3192.350830078125,955.1311645507812,4279.02783203125,684.0786743164062,1498.203369140625,151.43228149414062,828.7308349609375,4764.11376953125,953.9530029296875,182.076904296875,3384.82373046875,972.8176879882812,3382.462646484375,1682.07861328125,1026.235595703125,786.8539428710938,620.8403930664062,2477.573974609375,398.5199279785156,2495.28173828125,893.65478515625,381.7528991699219,1292.237548828125,1150.85595703125,731.4089965820312,363.9603271484375,2300.1123046875,1324.4683837890625,8965.8232421875,172.16624450683594,1089.50146484375,134.87908935546875,166.12115478515625,1142.6915283203125,1256.2950439453125,319.82928466796875,525.2484130859375,961.4094848632812,2924.08154296875,821.993408203125,102.86568450927734,991.2695922851562,2901.820068359375,7786.71484375,175.69712829589844
2023-06-26,2291.43115234375,710.0271606445312,4995.3271484375,3202.466796875,957.2737426757812,4264.494140625,684.9644165039062,1503.78955078125,150.8848114013672,825.9677124023438,4800.91748046875,985.28857421875,180.78729248046875,3454.61279296875,982.1096801757812,3394.361083984375,1692.5665283203125,1028.3052978515625,783.0476684570312,624.157958984375,2544.36767578125,404.5684509277344,2505.200439453125,897.4772338867188,382.5683288574219,1298.5076904296875,1155.7232666015625,733.6624755859375,362.845703125,2288.5615234375,1348.0015869140625,9103.1845703125,170.50634765625,1094.0430908203125,134.87908935546875,165.05844116210938,1133.9671630859375,1259.926513671875,324.9224548339844,527.5687255859375,964.8034057617188,2899.80712890625,843.2067260742188,103.1003189086914,988.0704956054688,2934.844970703125,7870.458984375,176.13641357421875
2023-06-27,2280.301025390625,705.9595336914062,5100.30126953125,3219.746826171875,969.9304809570312,4274.8154296875,686.9755859375,1519.1510009765625,151.74810791015625,838.5228271484375,4748.251953125,973.0917358398438,181.47238159179688,3502.45849609375,978.9928588867188,3379.165283203125,1698.79052734375,1030.50732421875,794.083251953125,660.7507934570312,2537.98779296875,407.5439453125,2504.491943359375,905.8475952148438,382.0533142089844,1299.3963623046875,1163.7291259765625,747.0855712890625,367.1748962402344,2298.668701171875,1352.5830078125,9094.341796875,171.5668487548828,1094.35498046875,135.69577026367188,165.755859375,1134.3760986328125,1279.875,323.54901123046875,536.1398315429688,971.4458618164062,2906.8076171875,835.0440673828125,103.94502258300781,995.001708984375,2937.90576171875,7910.3544921875,176.9225311279297
